sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
0.01722,-0.03347,-0.014122,0.01973,-0.024994,0.024483,0.000351,0.038864,0.033096,-0.030182,0.020775,0.005005,-0.038834,-0.019997,0.084778,0.023544,0.008476,0.010803,0.019562,0.044258,-0.022255,-0.038918,-0.019501,0.009354,0.001968,-0.027153,-0.061432,0.035927,0.010704,-0.037514,0.056114,-0.01516,-0.012283,0.02095,0.017197,0.006111,0.063126,-0.029312,-0.028099,-0.023209
0.023003,-0.037361,-0.017944,0.031273,-0.016731,0.02092,0.00489,0.036057,0.014374,-0.028542,0.011055,0.014809,-0.03215,-0.032043,0.077156,0.031502,0.008286,0.006058,0.031021,0.050568,-0.021393,-0.027969,-0.008606,0.007004,0.019142,-0.035767,-0.057213,0.030685,0.00351,-0.045143,0.067116,-0.002914,0.009048,0.012848,-0.003403,0.003883,0.06144,-0.03038,-0.018097,-0.027473
0.021858,-0.042809,-0.019264,0.041962,-0.006569,0.013649,0.010475,0.032654,0.001244,-0.021019,0.004791,0.023491,-0.02182,-0.038177,0.061058,0.039955,0.007881,-0.001724,0.040718,0.052879,-0.016212,-0.012825,0.000687,0.011375,0.032547,-0.035454,-0.045876,0.020157,0.000107,-0.046463,0.068916,0.011864,0.028038,0.0065,-0.01889,0.002106,0.06192,-0.022606,-0.00428,-0.030968
0.017853,-0.043236,-0.020569,0.045662,0.005707,0.005066,0.011711,0.024872,-0.01078,-0.004883,-6.87E-05,0.032051,-0.011337,-0.03862,0.04203,0.048676,0.006996,-0.007797,0.047798,0.048126,-0.005775,0.002144,0.008003,0.01416,0.045319,-0.029396,-0.024193,0.00885,-0.005424,-0.047234,0.061798,0.024925,0.041664,0.001221,-0.028236,-0.000595,0.060661,-0.012413,0.013252,-0.027107
0.014412,-0.034882,-0.014244,0.0438,0.020348,0.000671,0.011086,0.018257,-0.021645,0.013847,-0.008949,0.037949,0.008392,-0.038269,0.022652,0.052467,0.001442,-0.011398,0.048958,0.041695,-0.000725,0.018692,0.012665,0.018311,0.054276,-0.018456,0.000725,-0.003448,-0.012642,-0.041153,0.047043,0.03231,0.055786,-0.005096,-0.03508,-0.001999,0.048866,-0.008469,0.027695,-0.021591
0.010536,-0.024994,-0.002457,0.040169,0.034348,-0.01133,0.010887,0.009239,-0.02607,0.034943,-0.020447,0.038048,0.028336,-0.033257,-0.001495,0.050606,-0.005013,-0.0158,0.044426,0.035835,0.002647,0.033081,0.017929,0.021309,0.05072,-0.008751,0.026871,-0.017143,-0.015656,-0.030952,0.027252,0.034676,0.064407,-0.01281,-0.034431,0.001053,0.028938,-0.003426,0.036674,-0.013771
0.007294,-0.012589,0.006721,0.033394,0.048386,-0.028961,0.005798,-0.00293,-0.027557,0.053947,-0.028038,0.033325,0.037712,-0.022606,-0.024727,0.04512,-0.008385,-0.017014,0.037338,0.024673,0.006783,0.040535,0.021187,0.023132,0.037285,0.000557,0.057281,-0.0242,-0.020828,-0.016449,0.006363,0.041763,0.06575,-0.020103,-0.033295,0.00209,0.011978,0.00721,0.042328,0.002205
-5.34E-05,0.002487,0.016815,0.021057,0.055412,-0.037643,0.001038,-0.007568,-0.028008,0.060318,-0.034782,0.024719,0.045197,-0.011223,-0.042511,0.037758,-0.011307,-0.015671,0.026855,0.0103,0.010597,0.045822,0.016716,0.027077,0.022911,0.009163,0.086372,-0.028435,-0.027405,0.003212,-0.016083,0.048866,0.064125,-0.02372,-0.03685,0.001106,-0.004997,0.014145,0.041718,0.020569
-0.01088,0.016174,0.028061,0.01265,0.055008,-0.043282,-0.00074,-0.006851,-0.025284,0.063416,-0.044975,0.012627,0.049057,0.002266,-0.056648,0.027962,-0.012161,-0.014214,0.0121,-0.002983,0.008911,0.047119,0.008316,0.029572,0.012039,0.013847,0.104469,-0.030884,-0.031006,0.022476,-0.039352,0.045326,0.053444,-0.023766,-0.03479,0.003113,-0.022583,0.019432,0.037964,0.034889
-0.018501,0.028862,0.033928,0.006401,0.049812,-0.044098,-0.00444,-0.00843,-0.020462,0.064766,-0.05426,0.001549,0.043343,0.016808,-0.066635,0.015976,-0.011398,-0.011452,-0.002838,-0.013878,0.004562,0.046204,-0.000992,0.028778,0.003746,0.021439,0.113144,-0.029877,-0.031296,0.038574,-0.058006,0.037437,0.034729,-0.019798,-0.028046,0.00592,-0.033562,0.02861,0.033791,0.049606
-0.023628,0.045929,0.037453,-0.006767,0.038872,-0.035934,-0.005615,-0.008858,-0.016716,0.05722,-0.061531,-0.009148,0.039772,0.02594,-0.068642,0.001755,-0.013405,-0.006836,-0.017952,-0.021423,-0.000946,0.041702,-0.00975,0.02076,-0.003227,0.028671,0.107895,-0.030998,-0.029968,0.048141,-0.072769,0.027069,0.0131,-0.015465,-0.022392,0.008385,-0.042068,0.0299,0.02626,0.057426
-0.023354,0.060837,0.039322,-0.017326,0.021225,-0.023994,-0.005264,-0.007133,-0.017906,0.047447,-0.065636,-0.023598,0.03846,0.027985,-0.062737,-0.016731,-0.015808,-0.003838,-0.033638,-0.022545,-0.007423,0.033226,-0.013474,0.006737,-0.009583,0.031357,0.087326,-0.031227,-0.026558,0.054642,-0.081894,0.015533,-0.01033,-0.015442,-0.017616,0.011345,-0.049339,0.026405,0.016518,0.053505
-0.01548,0.066643,0.035156,-0.02507,0.007011,-0.012154,-0.003578,-0.010323,-0.01693,0.031815,-0.061455,-0.0298,0.030388,0.02417,-0.053062,-0.031799,-0.014259,-0.001747,-0.044373,-0.019447,-0.009697,0.026657,-0.013771,-0.005722,-0.014725,0.028549,0.059769,-0.025146,-0.018517,0.056938,-0.080467,0.00528,-0.036453,-0.018127,-0.014336,0.012077,-0.052284,0.028763,0.008949,0.047264
-0.008072,0.0662,0.028442,-0.035042,-0.001007,0.002335,-0.001747,-0.01265,-0.011322,0.009109,-0.047951,-0.02533,0.021042,0.012169,-0.035782,-0.040146,-0.006729,0.001343,-0.048576,-0.018219,-0.011017,0.018448,-0.013542,-0.015472,-0.015762,0.021149,0.025826,-0.013634,-0.006531,0.052177,-0.072067,-0.003403,-0.055504,-0.019073,-0.014572,0.007721,-0.050049,0.03109,-0.000336,0.036583
-0.003471,0.059761,0.021576,-0.041199,-0.008026,0.017754,-0.004623,-0.011436,-0.010185,-0.009232,-0.029167,-0.020767,0.012794,-0.002518,-0.014671,-0.046516,0.002052,0.005455,-0.046043,-0.016441,-0.0103,0.01078,-0.010582,-0.023445,-0.01078,0.014893,-0.013206,-0.002655,0.008034,0.043945,-0.057022,-0.013275,-0.062889,-0.016235,-0.01149,0.000435,-0.041527,0.030212,-0.012779,0.019653
0.004745,0.048996,0.011124,-0.039963,-0.007141,0.028748,-0.011665,-0.014526,-0.009644,-0.019035,-0.006493,-0.01091,0.001335,-0.011566,0.007301,-0.048157,0.013672,0.010445,-0.037437,-0.013313,-0.00396,0.003906,-0.001556,-0.031281,-0.00312,0.009209,-0.051231,0.010201,0.021332,0.033058,-0.036636,-0.022423,-0.070435,-0.014,1.53E-05,-0.008812,-0.030624,0.030403,-0.021339,0.00499
0.017494,0.035828,-0.002411,-0.038536,-0.004593,0.038551,-0.019043,-0.018768,-0.009499,-0.027512,0.018196,0.003571,-0.009789,-0.01757,0.030388,-0.043053,0.026421,0.013344,-0.022751,-0.010544,0.009598,-0.004959,0.007256,-0.038132,0.006866,0.002357,-0.079712,0.026054,0.028336,0.016968,-0.016228,-0.025238,-0.074905,-0.014694,0.01049,-0.019493,-0.021584,0.025764,-0.026077,-0.004288
0.026909,0.020134,-0.018227,-0.035614,-0.006233,0.042816,-0.022018,-0.023193,-0.0112,-0.037941,0.043373,0.011955,-0.015739,-0.021423,0.04747,-0.037498,0.031799,0.014046,-0.00663,-0.007912,0.025406,-0.012024,0.015442,-0.040382,0.017204,-0.00647,-0.098984,0.035126,0.031784,-0.002251,0.004776,-0.029449,-0.070511,-0.02005,0.02005,-0.024506,-0.012291,0.014809,-0.028801,-0.014999
0.030975,0.001686,-0.032677,-0.029144,-0.005981,0.036842,-0.019257,-0.026749,-0.007202,-0.044388,0.06768,0.015419,-0.020699,-0.022629,0.057991,-0.029755,0.033676,0.01329,0.009705,-0.007118,0.040764,-0.015648,0.026718,-0.037079,0.02195,-0.013702,-0.113312,0.037178,0.034721,-0.016533,0.023773,-0.033562,-0.063087,-0.024246,0.029648,-0.021233,-0.001534,0.006096,-0.027023,-0.024582
0.03035,-0.015556,-0.044304,-0.027405,-0.007088,0.029259,-0.010567,-0.025101,0.004822,-0.048851,0.086571,0.021248,-0.02549,-0.023956,0.063721,-0.016441,0.036636,0.012344,0.028557,-0.010765,0.055115,-0.016754,0.032196,-0.031136,0.02282,-0.02034,-0.116394,0.036942,0.032883,-0.026611,0.039391,-0.032097,-0.050842,-0.018082,0.031197,-0.015442,0.003242,-0.002777,-0.023277,-0.027962
0.023758,-0.030029,-0.052986,-0.02256,-0.015297,0.024178,0.000175,-0.02005,0.017395,-0.051155,0.09446,0.026596,-0.026993,-0.026321,0.063499,-0.004227,0.037544,0.009209,0.043633,-0.016502,0.059341,-0.018257,0.034401,-0.020775,0.021111,-0.026459,-0.106483,0.034134,0.030289,-0.03299,0.05294,-0.029778,-0.026718,-0.0075,0.033653,-0.007347,0.006989,-0.014267,-0.023346,-0.030991
0.020378,-0.040901,-0.052727,-0.008324,-0.023483,0.015511,0.007042,-0.016113,0.026962,-0.045258,0.087128,0.025566,-0.027542,-0.023857,0.054588,0.007294,0.033348,0.00248,0.053268,-0.016289,0.054741,-0.020233,0.035683,-0.00499,0.015015,-0.027252,-0.088768,0.02919,0.026413,-0.034836,0.060219,-0.027412,0.002136,0.002022,0.043404,0.001572,0.013603,-0.022812,-0.019608,-0.029549
0.02343,-0.046906,-0.047653,0.009895,-0.029472,0.004669,0.011147,-0.011024,0.03772,-0.037254,0.070786,0.019699,-0.026062,-0.014824,0.040627,0.023354,0.026535,-0.005028,0.056137,-0.013138,0.049576,-0.022957,0.031876,0.011139,0.005989,-0.024803,-0.06144,0.024498,0.016136,-0.039368,0.056107,-0.0224,0.02581,0.011581,0.048859,0.007652,0.013985,-0.030998,-0.011864,-0.019295
0.025063,-0.049232,-0.036255,0.027336,-0.037025,-0.003189,0.016953,0.002007,0.043411,-0.033028,0.051163,0.007835,-0.019142,-0.008141,0.025246,0.038223,0.016579,-0.014191,0.051361,-0.0093,0.043221,-0.02594,0.0261,0.026848,-1.53E-05,-0.018173,-0.024948,0.015556,0.005417,-0.042625,0.043282,-0.01693,0.046692,0.018074,0.050903,0.011925,0.011322,-0.042709,-0.008827,-0.006172
0.024391,-0.048271,-0.019798,0.040794,-0.038658,-0.012497,0.025818,0.016487,0.043915,-0.027077,0.029663,-0.008461,-0.011414,-0.005714,0.009796,0.046761,0.004135,-0.023209,0.039177,-0.000412,0.030167,-0.0252,0.018501,0.041,-0.006981,-0.007019,0.015137,-0.000221,-0.00174,-0.038101,0.027115,-0.009811,0.060913,0.01976,0.051041,0.016983,0.015976,-0.054161,-0.003708,0.005997
0.021072,-0.045197,-0.008926,0.047363,-0.03788,-0.023102,0.033981,0.027122,0.043266,-0.017426,0.008423,-0.022232,-0.00563,-0.003296,-0.002449,0.052391,-0.006134,-0.026443,0.023781,0.009598,0.013069,-0.021126,0.010376,0.049171,-0.020271,0.005997,0.054657,-0.012337,-0.009277,-0.029633,0.009155,0.003639,0.064903,0.022797,0.039368,0.024284,0.02636,-0.065735,0.001709,0.017822
